country,region,hazard_elec_bill,hazard_heat_cool,hazard_bill_struggle,hazard_house_value,hazard_miss_savings,hazard_tax_fines,hazard_power_cuts,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,housing_situation,home_type,dwelling_year,rent_arrears,utility_arrears,housing_support,energy_support,energy_improvements,plans_energy_improvements,solar_perception,solar_install_likelihood,can_cover_solar_cost,aware_gov_programmes,issue_poor_insulation,issue_damp_mold,issue_inadequate_heating,issue_high_energy_bills,issue_limited_light,issue_leaking_roof,issue_rotten_frames,home_problems_count,macro_utility_arrears_pct,macro_cold_home_pct,macro_cost_overburden_rate,macro_consumption_expenditure,macro_disposable_income_pps,macro_heating_degree_days,macro_cooling_degree_days,macro_energy_consumption_tj,macro_electricity_consumption,religious_minority,bill_confidence,is_native_born,speaks_national_language,age,age_group,housing_cost_band,income_band,household_type
Ireland,Northern and Western,9,9,4,9,9,4,4,6.857142857142857,1,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,Yes,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2022 or after,No,No,No,No,Yes,Not applicable,3.0,Not applicable,No,Not applicable,0,0,0,0,0,0,0,0,8.8,4.5,5.3,136200.1,26523.71,1818.53,0.0,106480.447,9.8217,Yes,Confident — I can understand it with some help,No,No,27.0,18-29,3_High,5,"Couple, no children"
Spain,Andalusia,25,25,25,8,25,25,25,22.571428571428573,5,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Fulfilling domestic tasks and/or caring for children or dependent persons,5,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,0,1,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,Yes,5.0,Not applicable,Yes,Not applicable,1,1,1,1,0,1,0,5,9.2,15.9,7.2,793600.0,132060.5,650.85,612.19,580422.275,5.6424,No/Non-religious,Confident — I can understand it with some help,No,No,44.0,30-44,2_Medium,3,Couple with children
Ireland,Northern and Western,25,25,25,25,16,25,25,23.714285714285715,5,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Fulfilling domestic tasks and/or caring for children or dependent persons,3,Rural,Yes,No,No,No,Well,Very confident — I can do these tasks easily on my own,Non-EU citizen,0,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives or friends)",Detached house – a house that stands alone and is not joined to any other,1945-1960,No,No,Yes,Yes,No,I don't know,5.0,Not sure,No,Yes,1,1,1,1,0,1,1,6,8.8,4.5,5.3,136200.1,26523.71,1818.53,0.0,106480.447,9.8217,No/Non-religious,Not at all confident — I find it very difficult to understand my energy bill.,No,Yes,51.0,45-59,1_Low,2,Other shared
Spain,Aragon,20,9,9,3,16,4,1,8.857142857142858,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,1,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2001-2010,No,No,No,No,Yes,Not applicable,4.0,Not applicable,Yes,Not applicable,1,1,0,1,1,0,0,4,9.2,15.9,7.2,793600.0,29248.5,1270.92,297.18,580422.275,5.6424,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,39.0,30-44,2_Medium,5,Couple with children
Ireland,Eastern and Midland,15,15,9,5,5,12,5,9.428571428571429,2,Man,Primary or Secondary education,Unemployed (actively seeking work or available to start work),2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,EU citizen from another country,0,0,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Semi-detached house – a house joined to one other house,2001-2010,No,No,No,No,No,I don't know,5.0,Unlikely,Not sure,Not sure,1,0,1,1,1,0,0,4,8.8,4.5,5.3,136200.1,97879.17,1820.78,0.0,106480.447,9.8217,No/Non-religious,Confident — I can understand it with some help,No,No,45.0,45-59,3_High,4,Single parent
Ireland,Eastern and Midland,25,25,25,25,25,25,25,25.0,5,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Rural,No,Yes,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,0,0,0,1,"I live here without paying rent (for example, staying with relatives or friends)",Detached house – a house that stands alone and is not joined to any other,Before 1945,"Yes, twice or more","Yes, twice or more",No,Yes,No,Yes,5.0,Not applicable,No,Not applicable,1,1,1,1,0,1,1,6,8.8,4.5,5.3,136200.1,97879.17,1820.78,0.0,106480.447,9.8217,No/Non-religious,Very confident — I can understand it easily,No,Yes,59.0,45-59,1_Low,2,Other shared
Italy,Lombardy,10,10,1,4,10,1,1,5.285714285714286,1,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,Yes,Prefer not to say,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,Yes,Not applicable,4.0,Not applicable,Yes,Not applicable,0,1,0,0,0,0,0,1,5.9,8.6,5.0,1257106.0,322158.3,1471.71,214.79,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,No,30.0,30-44,3_High,9,"Couple, no children"
Italy,Lombardy,16,16,1,6,12,1,1,7.571428571428571,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1945-1960,No,No,No,No,No,I don't know,3.0,Unlikely,Yes,Yes,0,0,0,1,0,0,0,1,5.9,8.6,5.0,1257106.0,322158.3,1471.71,214.79,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,53.0,45-59,1_Low,3,"Couple, no children"
Spain,Community of Madrid,16,16,10,6,9,20,8,12.142857142857142,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Suburban,Yes,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2001-2010,No,No,No,No,Yes,Not applicable,3.0,Not applicable,Yes,Not applicable,0,0,0,0,0,0,0,0,9.2,15.9,7.2,793600.0,194229.0,1124.85,498.39,580422.275,5.6424,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,25.0,18-29,2_Medium,3,"Couple, no children"
Italy,Lazio,25,25,25,15,9,12,20,18.714285714285715,5,Woman or Non-binary,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Rural,No,No,No,No,Mother tongue / Very well,Confident or less confident,Citizen of this country,1,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives or friends)",Detached house – a house that stands alone and is not joined to any other,1981-2000,No,No,No,No,No,No,3.0,Somewhat unlikely,Not sure,Yes,1,1,1,1,0,0,0,4,5.9,8.6,5.0,1257106.0,150307.6,798.71,361.74,1155020.242,8.7008,No/Non-religious,Not very confident — I often need help or support,Yes,Yes,46.0,45-59,2_Medium,1,Lives alone
