country,region,hazard_elec_bill,hazard_heat_cool,hazard_bill_struggle,hazard_house_value,hazard_miss_savings,hazard_tax_fines,hazard_power_cuts,hazard_insurance_cost,hazard_rent_ban,hazard_damp_mould,hazard_insurer_risk,hazard_severe_weather,hazard_cold_damp_health,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,ber_rating,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,heat_fuel_oil_paraffin,heat_fuel_electricity,heat_fuel_piped_natural,heat_fuel_bottle_gas,heat_fuel_lpg,heat_fuel_coal,heat_fuel_wood,heat_fuel_pellets,heat_fuel_district,heat_fuel_solar,heat_fuel_heat_pump,heat_fuel_other,housing_situation,home_type,dwelling_year,rent_arrears,utility_arrears,housing_support,energy_support,energy_improvements,plans_energy_improvements,solar_perception,solar_install_likelihood,can_cover_solar_cost,aware_gov_programmes,issue_poor_insulation,issue_damp_mold,issue_inadequate_heating,issue_high_energy_bills,issue_limited_light,issue_leaking_roof,issue_rotten_frames,home_problems_count,macro_dwelling_too_dark,macro_asthma_death_rate,macro_leak_damp_rot,macro_excess_winter_mortality,macro_cold_home_pct,macro_cost_overburden_rate,macro_heating_degree_days,macro_cooling_degree_days,macro_severe_housing_deprivation,religious_minority,bill_confidence,is_native_born,speaks_national_language,age,age_group,housing_cost_band,income_band,household_type
Ireland,Eastern and Midland,6.0,16.0,16.0,12.0,12.0,4.0,9.0,4.0,1.0,4.0,4.0,4.0,4.0,7.384615384615385,2,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3.0,Suburban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,C (moderate),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,I own the house or flat where I live and I do not pay a mortgage,Semi-detached house – a house joined to one other house,1981-2000,No,No,No,No,I don't know,No,2,Somewhat unlikely,No,Yes,0,0,0,1,0,0,0,1,6.9,907.0,21.2,2.8,4.5,5.3,1820.78,0.0,0.2,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,51.0,45+,2_Medium,2,Single parent
Germany,Münster,4.0,20.0,20.0,4.0,9.0,20.0,4.0,6.0,4.0,1.0,1.0,6.0,6.0,8.076923076923077,2,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1.0,Suburban,Prefer not to say,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,I don't know,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",I don't know,"Yes, twice or more","Yes, once",No,No,No,No,4,Likely,No,Not sure,1,0,1,0,1,1,0,4,7.1,1052.93,16.0,5.5,5.7,11.2,1659.33,23.99,0.3,Prefer not to say,Confident — I can understand it with some help,No,No,34.0,30-44,1_Low,2,Lives alone
Ireland,Northern and Western,8.0,8.0,4.0,6.0,9.0,1.0,12.0,9.0,6.0,16.0,6.0,6.0,12.0,7.923076923076923,2,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1.0,Urban,No,No,No,No,Mother tongue / Very well,Confident or less confident,Citizen of this country,A-B (high efficiency),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,Semi-detached house – a house joined to one other house,1981-2000,No,No,No,No,Yes,Not applicable,5,Not applicable,Yes,Not applicable,1,0,1,0,0,0,0,2,6.9,885.49,21.2,2.8,4.5,5.3,1818.53,0.0,0.2,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,60.0,45+,1_Low,4,Lives alone
Ireland,Eastern and Midland,6.0,6.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.3076923076923075,1,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1.0,Rural,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,I own the house or flat where I live and I am paying if with a mortgage,Terraced house – a house that is part of a row of houses joined together,2001-2010,No,No,No,No,Yes,Not applicable,5,Not applicable,Yes,Not applicable,0,0,0,1,0,0,0,1,6.9,907.0,21.2,2.8,4.5,5.3,1820.78,0.0,0.2,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,62.0,45+,2_Medium,6,Lives alone
Germany,Düsseldorf,20.0,8.0,9.0,6.0,8.0,9.0,10.0,10.0,8.0,8.0,5.0,5.0,8.0,8.76923076923077,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4.0,Suburban,No,No,No,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I own the house or flat where I live and I am paying if with a mortgage,Terraced house – a house that is part of a row of houses joined together,1961-1980,No,No,No,No,Yes,Not applicable,4,Not applicable,Yes,Not applicable,1,1,0,1,0,0,0,3,7.1,1075.05,16.0,5.5,5.7,11.2,1540.0,38.40000000000001,0.3,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,42.0,30-44,3_High,9,Couple with children
Portugal,Norte,8.0,15.0,12.0,6.0,20.0,9.0,6.0,6.0,9.0,6.0,4.0,9.0,8.0,9.076923076923077,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3.0,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,C (moderate),0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives of friends)",Semi-detached house – a house joined to one other house,2001-2010,No,No,No,No,Yes,Not applicable,4,Not applicable,Yes,Not applicable,0,0,0,1,0,0,0,1,8.1,914.3,29.0,10.0,15.6,6.3,1038.89,227.41,4.2,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,25.0,18-29,2_Medium,6,Multi-generational / extended
Portugal,Centre,25.0,25.0,10.0,6.0,8.0,12.0,5.0,10.0,5.0,12.0,8.0,12.0,10.0,11.384615384615385,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1.0,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,I don't know,4,Likely,Yes,Not sure,0,1,0,1,0,0,0,2,8.1,1000.31,29.0,10.0,15.6,6.3,853.61,285.82,4.2,No/Non-religious,Very confident — I can understand it easily,No,Yes,30.0,30-44,1_Low,3,Lives alone
Germany,Hannover,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3846153846153846,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Other,1.0,Rural,No,Yes,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,I own the house or flat where I live and I am paying if with a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,No,No,No,I don't know,3,Very unlikely,Yes,Yes,0,0,0,0,0,0,0,0,7.1,1043.92,16.0,5.5,5.7,11.2,1758.37,19.02,0.3,No/Non-religious,Very confident — I can understand it easily,Yes,No,61.0,45+,1_Low,4,Lives alone
Portugal,Centre,20.0,20.0,16.0,15.0,4.0,9.0,16.0,20.0,20.0,25.0,12.0,25.0,25.0,17.46153846153846,5,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",5.0,Suburban,No,Prefer not to say,Yes or PNS,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,A-B (high efficiency),0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,"Yes, once","Yes, once",No,No,I don't know,Yes,3,Not applicable,Not sure,Not applicable,0,1,0,1,0,0,1,3,8.1,1000.31,29.0,10.0,15.6,6.3,853.61,285.82,4.2,Prefer not to say,Confident — I can understand it with some help,No,No,44.0,30-44,3_High,3,Couple with children
Portugal,Centre,25.0,25.0,16.0,3.0,12.0,9.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,8.0,2,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2.0,Suburban,No,No,No,No,Well or less proficient,Confident or less confident,Citizen of this country,I don't know,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2022 or after,No,No,No,No,Yes,Not applicable,5,Not applicable,Yes,Not applicable,0,1,0,1,1,1,0,4,8.1,1000.31,29.0,10.0,15.6,6.3,853.61,285.82,4.2,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,30.0,30-44,2_Medium,4,"Couple, no children"
