country,region,hazard_fuel_repair_cost,hazard_car_resale,hazard_tax_fines,hazard_zez_restriction,hazard_journey_complex,hazard_pollution_exposure,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,car_access,newest_car_fuel,planning_purchase,planned_car_type,ev_charging_better,aware_ev_programmes,ev_likelihood,transport_mode,need_car_for_job,travel_distance,travel_frequency,commute_1hr,public_transit_qual,use_more_if_lowemis,macro_modal_split_cars,macro_cant_afford_transport,macro_cars_per_1000,macro_alt_motor_energy,macro_cars_by_age,macro_new_cars_by_motor,macro_hh_expend_transport,macro_fuel_price,macro_road_transport_expend,religious_minority,is_native_born,speaks_national_language,newest_car_year_band,age,age_group,weekly_spend_band,income_band,household_type,ev_perception,num_cars
Italy,Trentino-South Tyrol,20,25,25,12,9,20,18.5,5,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","Attending school, university, or other educational/training programmes",1,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,Yes,Hybrid (fuel and electric),I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Somewhat likely,Walking,Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Good,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,23.0,18-29,1_Low,1,Lives alone,4,2
Italy,Campania,20,20,6,4,2,1,8.833333333333334,2,Man,Further education or training after school (not university),Unemployed (actively seeking work or available to start work),5,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Diesel,I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",Not sure,Somewhat likely,"Car (private, company, leased car or taxi, car share)",Sometimes,Less than 1 km,Three or more days per week,No,Very poor,Possibly,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,29.0,18-29,3_High,2,Multi-generational / extended,3,1
Italy,Abruzzo,20,10,10,9,16,25,15.0,4,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",3,Urban,No,No,No,No,Well,Confident — I can do most tasks but sometimes need help,Citizen of this country,0,0,0,0,0,0,1,0,Yes,Diesel,I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",Yes,Very likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Very good,"Yes, definitely",16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,23.0,18-29,1_Low,2,Multi-generational / extended,4,2
Italy,Lombardy,16,16,6,4,4,9,9.166666666666666,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,Yes,Hybrid (fuel and electric),I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,No,Unlikely,"Car (private, company, leased car or taxi, car share)",Never,More than 15 km,Three or more days per week,No,Good,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2010-2019,53.0,45-59,2_Medium,3,"Couple, no children",2,2
Italy,Basilicata,16,12,6,12,12,9,11.166666666666666,2,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Unemployed (actively seeking work or available to start work),2,Rural,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Diesel,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,No,Unlikely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Very poor,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,25.0,18-29,2_Medium,1,Multi-generational / extended,5,1
Italy,Sardinia,16,25,20,16,15,20,18.666666666666668,5,Man,Primary or Secondary education,Unemployed (actively seeking work or available to start work),1,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,No,Not applicable,I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",Not sure,Likely,"Car (private, company, leased car or taxi, car share)",Never,Between 5km and 15 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Average,"Yes, definitely",16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,Not applicable,31.0,30-44,1_Low,1,Lives alone,5,0
Italy,Sardinia,20,12,10,6,4,12,10.666666666666666,2,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Rural,No,Yes,No,Prefer not to say,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,Yes,Petrol,I am considering to buy a new car in the next 2 -3 years,Petrol,Maybe,Not sure,Somewhat likely,"Car (private, company, leased car or taxi, car share)",Sometimes,Between 5km and 15 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Very poor,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,pre-2010,47.0,45-59,2_Medium,2,"Couple, no children",4,1
Italy,Marche,6,9,9,12,6,12,9.0,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Petrol,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Not sure,Somewhat likely,"Car (private, company, leased car or taxi, car share)",Sometimes,Between 1 km and 5 km,Three or more days per week,Yes,Poor,Possibly,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,36.0,30-44,1_Low,5,Multi-generational / extended,3,2
Italy,Lazio,10,20,20,12,12,20,15.666666666666666,4,Woman,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Rural,No,No,No,No,Mother tongue / Very well,Confident — I can do most tasks but sometimes need help,Citizen of this country,1,0,0,0,0,0,0,0,Yes,Petrol,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Not sure,Somewhat likely,Walking,Not applicable,Between 5km and 15 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Poor,Possibly,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2010-2019,46.0,45-59,1_Low,1,Lives alone,3,1
Italy,Abruzzo,12,10,20,12,1,1,9.333333333333334,2,Man,Further education or training after school (not university),"Attending school, university, or other educational/training programmes",2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,No,Not applicable,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,Yes,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,Yes,Very good,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,Not applicable,29.0,18-29,3_High,2,"Couple, no children",3,0
