predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
housing_cost_band__1_Low,0.9076,0.2989,2.4784,1.3796,4.4524,3.0366,0.0024,**,increases,100.0,False,0.1472,14.72,binary,True
age_group__45+,-0.8145,0.366,0.4429,0.2161,0.9074,-2.2256,0.026,*,decreases,34.0,False,-0.1016,-10.16,binary,True
activity_status__Unemployed (actively seeking work or available to start work),0.7245,0.4781,2.0637,0.8085,5.2679,1.5153,0.1297,,increases,18.0,False,0.1314,13.14,binary,True
housing_cost_band__3_High,0.6662,0.2999,1.9469,1.0816,3.5043,2.2217,0.0263,*,increases,80.0,False,0.1094,10.94,binary,True
issue_high_energy_bills,-0.539,0.2353,0.5833,0.3678,0.9251,-2.2908,0.022,*,decreases,101.0,False,-0.0787,-7.87,binary,True
activity_status__Other,-0.5188,0.5478,0.5952,0.2034,1.7418,-0.947,0.3436,,decreases,11.0,False,-0.0674,-6.74,binary,True
housing_situation__I own the house or flat where I live and I am paying if with a mortgage,-0.4482,0.3154,0.6388,0.3443,1.1853,-1.4209,0.1553,,decreases,60.0,False,-0.0629,-6.29,binary,True
age_group__18-29,-0.3212,0.2619,0.7252,0.434,1.2118,-1.2265,0.22,,decreases,110.0,False,-0.048,-4.8,binary,True
citizenship__EU citizen from another country,-0.2706,0.4127,0.7629,0.3398,1.7129,-0.6559,0.5119,,decreases,21.0,False,-0.0382,-3.82,binary,True
citizenship__Non-EU citizen,-0.2153,0.3429,0.8063,0.4118,1.5788,-0.628,0.53,,decreases,38.0,False,-0.0311,-3.11,binary,True
"activity_status__Attending school, university, or other educational/training programmes",0.1718,0.345,1.1875,0.6038,2.3353,0.498,0.6185,,increases,40.0,False,0.0271,2.71,binary,True
"housing_situation__I live here without paying rent (for example, staying with relatives of friends)",-0.1608,0.4145,0.8515,0.3779,1.9185,-0.388,0.698,,decreases,24.0,False,-0.0234,-2.34,binary,True
housing_situation__I own the house or flat where I live and I do not pay a mortgage,-0.1432,0.4059,0.8666,0.3911,1.9203,-0.3526,0.7244,,decreases,29.0,False,-0.021,-2.1,binary,True
macro_cold_home_pct,0.1139,0.082,1.1206,0.9542,1.3161,1.3881,0.1651,,increases,,False,0.0179,1.79,continuous/ordinal,True
macro_heating_degree_days,0.0007,0.0007,1.0007,0.9994,1.0021,1.0733,0.2831,,increases,,False,0.0001,0.01,continuous/ordinal,True
