predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
political_group__Yes,-1.5332,0.5644,0.2159,0.0714,0.6525,-2.7164,0.0066,**,decreases,11,False,-0.1386,-13.86,binary,True
home_type__Terraced house – a house that is part of a row of houses joined together,1.3081,0.5083,3.699,1.3658,10.0181,2.5732,0.0101,*,increases,19,False,0.2554,25.54,binary,True
household_type__Other shared,0.9893,0.416,2.6894,1.1899,6.0784,2.378,0.0174,*,increases,25,False,0.1805,18.05,binary,True
education__Further education or training after school (not university),0.8168,0.297,2.2634,1.2647,4.0507,2.7507,0.0059,**,increases,51,False,0.1378,13.78,binary,True
housing_cost_band__3_High,0.7208,0.3005,2.0561,1.141,3.7051,2.3991,0.0164,*,increases,80,False,0.1143,11.43,binary,True
housing_cost_band__1_Low,0.6834,0.2779,1.9806,1.1488,3.4147,2.4592,0.0139,*,increases,100,False,0.1045,10.45,binary,True
household_type__Single parent,0.6708,0.4415,1.9559,0.8233,4.6464,1.5195,0.1286,,increases,23,False,0.1149,11.49,binary,True
activity_status__Other,-0.5826,0.6486,0.5584,0.1566,1.9908,-0.8984,0.369,,decreases,11,False,-0.0706,-7.06,binary,True
political_group__Prefer not to say,0.5707,0.6476,1.7696,0.4973,6.2969,0.8813,0.3782,,increases,7,True,0.0974,9.74,binary,True
education__Primary or Secondary education,0.5094,0.3278,1.6643,0.8753,3.1644,1.5539,0.1202,,increases,39,False,0.0826,8.26,binary,True
bill_confidence__Very confident — I can understand it easily,0.4812,0.2547,1.618,0.9821,2.6654,1.8892,0.0589,,increases,103,False,0.0722,7.22,binary,True
household_type__Lives alone,0.4459,0.3521,1.562,0.7833,3.1146,1.2665,0.2053,,increases,55,False,0.0702,7.02,binary,True
activity_status__Unemployed (actively seeking work or available to start work),0.3498,0.4338,1.4188,0.6063,3.3202,0.8064,0.42,,increases,18,False,0.0557,5.57,binary,True
home_type__Semi-detached house – a house joined to one other house,-0.2027,0.4152,0.8166,0.3619,1.8426,-0.4881,0.6255,,decreases,26,False,-0.0278,-2.78,binary,True
"home_type__Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",-0.125,0.2998,0.8825,0.4903,1.5883,-0.417,0.6767,,decreases,65,False,-0.0178,-1.78,binary,True
household_type__Couple with children,-0.1228,0.3822,0.8844,0.4181,1.8707,-0.3214,0.7479,,decreases,40,False,-0.0173,-1.73,binary,True
home_type__Detached house – a house that stands alone and is not joined to any other,-0.0985,0.3474,0.9062,0.4587,1.7903,-0.2834,0.7768,,decreases,46,False,-0.014,-1.4,binary,True
bill_confidence__Another person is in charge of reading and/or paying the energy bill.,-0.0826,0.5188,0.9207,0.333,2.5454,-0.1592,0.8735,,decreases,14,False,-0.0117,-1.17,binary,True
household_type__Multi-generational / extended,0.0628,0.3805,1.0648,0.5051,2.2446,0.165,0.869,,increases,33,False,0.0092,0.92,binary,True
bill_confidence__Not very confident or worse,0.0438,0.3918,1.0448,0.4847,2.2519,0.1118,0.911,,increases,29,False,0.0064,0.64,binary,True
